report_id,title,description,area,time_of_day,population_density,distance_to_school_km,complaint_age_hours,nearby_open_reports,brightness,edge_density,red_ratio,brown_ratio,green_ratio,blue_ratio,issue_type,severity_score,priority,recommended_team
CP-00479,Pothole near MG Road,pothole reported at MG Road during afternoon.  needs attention from city staff.,MG Road,afternoon,0.33,1.16,89,6,56.21,0.779,0.211,0.352,0.453,0.386,Pothole,87,P1 Emergency,Roads team
CP-00480,Illustration upload,illustration image captured at MG Road during night. Non-civic content without a public infrastructure problem.,MG Road,night,0.45,3.35,5,1,107.53,0.312,0.377,0.031,0.121,0.202,Unsupported,23,P4 Low,Manual review
CP-00481,Race Car upload,race car image captured at Whitefield during afternoon. Non-civic content without a public infrastructure problem.,Whitefield,afternoon,0.74,2.71,5,2,116.08,0.2,0.33,0.148,0.17,0.184,Unsupported,19,P4 Low,Manual review
CP-00482,Overflowing Bin near Richmond Road,overflowing bin reported at Richmond Road during afternoon. night needs attention from city staff.,Richmond Road,afternoon,0.84,0.7,36,6,46.27,0.338,0.247,0.428,0.578,0.616,Garbage,83,P1 Emergency,Waste collection crew
CP-00483,Road Crack near Richmond Road,road crack reported at Richmond Road during evening. main road needs attention from city staff.,Richmond Road,evening,0.34,1.95,46,6,53.93,0.61,0.138,0.373,0.254,0.271,Pothole,100,P1 Emergency,Roads team
CP-00484,Drain Water near Ulsoor,drain water reported at Ulsoor during night. accident risk needs attention from city staff.,Ulsoor,night,0.64,0.43,7,3,173.44,0.264,0.043,0.042,0.161,0.397,Water Leak,72,P2 High,Drainage crew
CP-00485,Crater near Richmond Road,crater reported at Richmond Road during afternoon. accident risk needs attention from city staff.,Richmond Road,afternoon,0.84,1.25,37,9,66.08,0.778,0.076,0.751,0.35,0.523,Pothole,100,P1 Emergency,Roads team
CP-00486,Sports Car upload,sports car image captured at Richmond Road during night. Non-civic content without a public infrastructure problem.,Richmond Road,night,0.57,2.81,4,2,160.42,0.193,0.388,0.018,0.014,0.23,Unsupported,25,P4 Low,Manual review
CP-00487,Damaged Lane near Richmond Road,damaged lane reported at Richmond Road during evening. night needs attention from city staff.,Richmond Road,evening,0.99,0.94,63,4,78.29,0.896,0.118,0.753,0.492,0.547,Pothole,100,P1 Emergency,Roads team
CP-00488,Fallen Tree near Richmond Road,fallen tree reported at Richmond Road during afternoon. urgent school needs attention from city staff.,Richmond Road,afternoon,0.52,0.16,74,6,77.51,0.705,0.078,0.622,0.359,0.677,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00489,Vehicle Obstruction near Koramangala,vehicle obstruction reported at Koramangala during night. night needs attention from city staff.,Koramangala,night,0.96,1.0,25,0,112.72,0.67,0.239,0.097,0.442,0.405,Road Block,95,P1 Emergency,Emergency clearing crew
CP-00490,Crater near Whitefield,crater reported at Whitefield during evening. school children needs attention from city staff.,Whitefield,evening,0.72,2.34,39,7,66.12,0.568,0.034,0.375,0.17,0.423,Pothole,100,P1 Emergency,Roads team
CP-00491,Hero Render upload,hero render image captured at Koramangala during afternoon. Non-civic content without a public infrastructure problem.,Koramangala,afternoon,0.97,2.15,10,1,138.03,0.394,0.35,0.078,0.2,0.29,Unsupported,22,P4 Low,Manual review
CP-00492,Fallen Tree near Jayanagar,fallen tree reported at Jayanagar during evening.  needs attention from city staff.,Jayanagar,evening,0.35,1.96,39,4,33.7,0.556,0.187,0.364,0.219,0.616,Road Block,89,P1 Emergency,Traffic response team
CP-00493,Electric Pole near Koramangala,electric pole reported at Koramangala during night. night children needs attention from city staff.,Koramangala,night,0.57,1.47,4,8,43.98,0.724,0.052,0.109,0.501,0.555,Broken Light,89,P1 Emergency,Night safety crew
CP-00494,Wallpaper Art upload,wallpaper art image captured at Indiranagar during morning. Non-civic content without a public infrastructure problem.,Indiranagar,morning,0.6,3.23,9,2,154.52,0.287,0.429,0.127,0.192,0.074,Unsupported,25,P4 Low,Manual review
CP-00495,Fallen Tree near Indiranagar,fallen tree reported at Indiranagar during evening. children school needs attention from city staff.,Indiranagar,evening,0.72,2.53,1,7,119.79,0.249,0.047,0.116,0.486,0.373,Road Block,93,P1 Emergency,Traffic response team
CP-00496,Construction Debris near MG Road,construction debris reported at MG Road during night. urgent needs attention from city staff.,MG Road,night,0.61,0.68,31,8,61.64,0.595,0.14,0.435,0.085,0.119,Road Block,97,P1 Emergency,Traffic response team
CP-00497,Overflowing Bin near Indiranagar,overflowing bin reported at Indiranagar during night. main road needs attention from city staff.,Indiranagar,night,0.47,2.35,76,7,78.77,0.311,0.126,0.524,0.339,0.573,Garbage,82,P1 Emergency,Sanitation team
CP-00498,Road Crack near MG Road,road crack reported at MG Road during afternoon. urgent children needs attention from city staff.,MG Road,afternoon,0.6,2.54,36,0,177.08,0.435,0.244,0.534,0.205,0.5,Pothole,84,P1 Emergency,Emergency roads crew
CP-00499,Construction Debris near Koramangala,construction debris reported at Koramangala during night. school needs attention from city staff.,Koramangala,night,0.3,2.95,62,6,174.01,0.589,0.075,0.466,0.289,0.468,Road Block,89,P1 Emergency,Emergency clearing crew
CP-00500,Road Blocked near MG Road,road blocked reported at MG Road during morning. elderly needs attention from city staff.,MG Road,morning,0.89,0.6,13,1,99.91,0.651,0.111,0.166,0.429,0.644,Road Block,98,P1 Emergency,Traffic response team
CP-00501,Garbage near MG Road,garbage reported at MG Road during evening. elderly main road needs attention from city staff.,MG Road,evening,0.34,2.97,10,7,142.14,0.589,0.24,0.602,0.431,0.495,Garbage,95,P1 Emergency,Sanitation team
CP-00502,Burst Pipe near Indiranagar,burst pipe reported at Indiranagar during afternoon. accident risk needs attention from city staff.,Indiranagar,afternoon,0.58,1.87,25,1,113.14,0.608,0.197,0.148,0.449,0.519,Water Leak,76,P2 High,Water works team
CP-00503,Construction Debris near Ulsoor,construction debris reported at Ulsoor during evening. traffic jam children needs attention from city staff.,Ulsoor,evening,0.71,1.98,18,1,90.22,0.605,0.248,0.379,0.087,0.372,Road Block,85,P1 Emergency,Emergency clearing crew
CP-00504,Construction Debris near Jayanagar,construction debris reported at Jayanagar during evening. urgent traffic jam needs attention from city staff.,Jayanagar,evening,0.54,1.28,21,4,31.96,0.563,0.243,0.607,0.285,0.291,Road Block,92,P1 Emergency,Traffic response team
CP-00505,Broken Lamp near Richmond Road,broken lamp reported at Richmond Road during afternoon. urgent night needs attention from city staff.,Richmond Road,afternoon,0.5,2.69,18,3,12.52,0.696,0.261,0.438,0.485,0.18,Broken Light,92,P1 Emergency,Electrical team
CP-00506,Pothole near Whitefield,pothole reported at Whitefield during morning. dangerous children main road school needs attention from city staff.,Whitefield,morning,0.28,1.8,84,5,89.04,0.846,0.242,0.714,0.031,0.058,Pothole,100,P1 Emergency,Emergency roads crew
CP-00507,Damaged Lane near Jayanagar,damaged lane reported at Jayanagar during afternoon. urgent elderly needs attention from city staff.,Jayanagar,afternoon,0.57,1.52,18,1,90.07,0.528,0.276,0.377,0.123,0.317,Pothole,89,P1 Emergency,Roads team
CP-00508,Road Blocked near Jayanagar,road blocked reported at Jayanagar during morning. urgent traffic jam needs attention from city staff.,Jayanagar,morning,0.29,1.56,37,0,70.26,0.586,0.253,0.649,0.089,0.291,Road Block,93,P1 Emergency,Traffic response team
CP-00509,Wallpaper Art upload,wallpaper art image captured at Indiranagar during evening. Non-civic content without a public infrastructure problem.,Indiranagar,evening,0.92,2.21,5,0,140.24,0.299,0.402,0.019,0.199,0.238,Unsupported,20,P4 Low,Manual review
CP-00510,Garbage near Indiranagar,garbage reported at Indiranagar during evening. main road needs attention from city staff.,Indiranagar,evening,0.79,2.77,5,3,131.73,0.626,0.143,0.092,0.391,0.043,Garbage,73,P2 High,Sanitation team
CP-00511,Concept Art upload,concept art image captured at Richmond Road during night. Non-civic content without a public infrastructure problem.,Richmond Road,night,0.54,3.31,10,0,62.99,0.359,0.448,0.162,0.204,0.294,Unsupported,22,P4 Low,Manual review
CP-00512,Flooding near Richmond Road,flooding reported at Richmond Road during night. urgent dangerous accident risk needs attention from city staff.,Richmond Road,night,0.57,2.53,67,4,46.01,0.4,0.216,0.603,0.09,0.726,Water Leak,100,P1 Emergency,Water works team
CP-00513,Blocked Lane near MG Road,blocked lane reported at MG Road during evening. elderly needs attention from city staff.,MG Road,evening,0.52,2.32,84,9,21.97,0.338,0.195,0.547,0.469,0.322,Road Block,99,P1 Emergency,Traffic response team
CP-00514,Street Light near Richmond Road,street light reported at Richmond Road during morning. main road traffic jam needs attention from city staff.,Richmond Road,morning,0.46,2.16,41,1,18.82,0.297,0.227,0.184,0.282,0.175,Broken Light,82,P1 Emergency,Electrical team
CP-00515,Damaged Lane near Jayanagar,damaged lane reported at Jayanagar during evening. main road needs attention from city staff.,Jayanagar,evening,0.28,2.52,8,4,176.05,0.46,0.241,0.46,0.306,0.05,Pothole,79,P1 Emergency,Roads team
CP-00516,Overflowing Bin near Jayanagar,overflowing bin reported at Jayanagar during morning. night needs attention from city staff.,Jayanagar,morning,0.73,3.07,19,0,72.25,0.742,0.114,0.277,0.669,0.34,Garbage,77,P2 High,Sanitation team
CP-00517,Broken Lamp near Jayanagar,broken lamp reported at Jayanagar during evening. urgent dangerous accident risk children needs attention from city staff.,Jayanagar,evening,0.95,1.36,75,0,69.52,0.206,0.221,0.429,0.526,0.672,Broken Light,88,P1 Emergency,Night safety crew
CP-00518,Water Filled Hole near Richmond Road,water filled hole reported at Richmond Road during night. main road urgent accident risk needs attention from city staff.,Richmond Road,night,0.49,0.72,74,4,165.77,0.781,0.23,0.807,0.142,0.234,Pothole,100,P1 Emergency,Emergency roads crew
CP-00519,Electric Pole near Whitefield,electric pole reported at Whitefield during afternoon. dangerous night needs attention from city staff.,Whitefield,afternoon,0.59,1.5,73,2,57.34,0.286,0.257,0.445,0.373,0.432,Broken Light,75,P2 High,Electrical team
CP-00520,Promo Image upload,promo image image captured at Indiranagar during afternoon. Non-civic content without a public infrastructure problem.,Indiranagar,afternoon,0.92,2.51,7,1,63.92,0.377,0.37,0.127,0.218,0.077,Unsupported,22,P4 Low,Manual review
CP-00521,Broken Lamp near Jayanagar,broken lamp reported at Jayanagar during morning.  needs attention from city staff.,Jayanagar,morning,1.0,0.21,95,5,51.41,0.845,0.188,0.487,0.251,0.535,Broken Light,96,P1 Emergency,Electrical team
CP-00522,Wallpaper Art upload,wallpaper art image captured at Ulsoor during night. Non-civic content without a public infrastructure problem.,Ulsoor,night,0.53,3.43,3,0,120.4,0.342,0.404,0.168,0.07,0.148,Unsupported,25,P4 Low,Manual review
CP-00523,Dumped Bags near Ulsoor,dumped bags reported at Ulsoor during evening. accident risk needs attention from city staff.,Ulsoor,evening,0.32,1.03,16,4,63.82,0.449,0.251,0.202,0.581,0.692,Garbage,85,P1 Emergency,Waste collection crew
CP-00524,Showroom Image upload,showroom image image captured at Jayanagar during morning. Non-civic content without a public infrastructure problem.,Jayanagar,morning,0.7,2.69,12,0,125.68,0.135,0.502,0.099,0.185,0.123,Unsupported,23,P4 Low,Manual review
CP-00525,Trash near Whitefield,trash reported at Whitefield during morning. dangerous night elderly urgent needs attention from city staff.,Whitefield,morning,0.5,1.8,36,7,120.9,0.511,0.224,0.465,0.453,0.649,Garbage,100,P1 Emergency,Waste collection crew
CP-00526,Fallen Tree near Indiranagar,fallen tree reported at Indiranagar during night. urgent main road needs attention from city staff.,Indiranagar,night,0.9,0.81,26,4,95.22,0.487,0.077,0.333,0.09,0.452,Road Block,94,P1 Emergency,Traffic response team
CP-00527,Showroom Image upload,showroom image image captured at Ulsoor during afternoon. Non-civic content without a public infrastructure problem.,Ulsoor,afternoon,0.28,2.39,9,1,156.68,0.291,0.565,0.124,0.113,0.216,Unsupported,22,P4 Low,Manual review
CP-00528,Dark Road near Koramangala,dark road reported at Koramangala during night. children needs attention from city staff.,Koramangala,night,0.34,1.65,41,1,45.27,0.414,0.062,0.576,0.465,0.608,Broken Light,72,P2 High,Electrical team
CP-00529,Blocked Lane near MG Road,blocked lane reported at MG Road during evening. elderly needs attention from city staff.,MG Road,evening,0.45,1.15,51,7,88.03,0.299,0.044,0.326,0.136,0.453,Road Block,88,P1 Emergency,Emergency clearing crew
CP-00530,Road Blocked near Whitefield,road blocked reported at Whitefield during evening. main road traffic jam elderly needs attention from city staff.,Whitefield,evening,0.35,1.91,93,0,148.39,0.156,0.206,0.595,0.426,0.396,Road Block,94,P1 Emergency,Traffic response team
CP-00531,Waste Pile near Indiranagar,waste pile reported at Indiranagar during afternoon. main road elderly children night needs attention from city staff.,Indiranagar,afternoon,0.93,1.19,28,8,137.33,0.87,0.039,0.033,0.439,0.09,Garbage,100,P1 Emergency,Sanitation team
CP-00532,Road Crack near MG Road,road crack reported at MG Road during morning. traffic jam needs attention from city staff.,MG Road,morning,0.86,1.35,52,2,150.93,0.411,0.245,0.694,0.287,0.498,Pothole,89,P1 Emergency,Roads team
CP-00533,Car Wallpaper upload,car wallpaper image captured at Richmond Road during evening. Non-civic content without a public infrastructure problem.,Richmond Road,evening,0.84,2.56,9,0,109.4,0.325,0.278,0.079,0.068,0.12,Unsupported,26,P4 Low,Manual review
CP-00534,Street Light near Ulsoor,street light reported at Ulsoor during night. dangerous children main road needs attention from city staff.,Ulsoor,night,0.83,1.59,62,9,20.88,0.341,0.066,0.417,0.064,0.401,Broken Light,100,P1 Emergency,Electrical team
CP-00535,3D Artwork upload,3d artwork image captured at Jayanagar during afternoon. Non-civic content without a public infrastructure problem.,Jayanagar,afternoon,0.29,2.72,4,1,90.84,0.407,0.272,0.106,0.113,0.18,Unsupported,22,P4 Low,Manual review
CP-00536,Pothole near Jayanagar,pothole reported at Jayanagar during afternoon. elderly dangerous traffic jam children needs attention from city staff.,Jayanagar,afternoon,0.64,0.47,26,7,159.16,0.881,0.251,0.416,0.352,0.377,Pothole,100,P1 Emergency,Roads team
CP-00537,Burst Pipe near Ulsoor,burst pipe reported at Ulsoor during afternoon. accident risk night main road school needs attention from city staff.,Ulsoor,afternoon,0.47,2.41,79,5,103.1,0.291,0.146,0.61,0.511,0.751,Water Leak,96,P1 Emergency,Drainage crew
CP-00538,Concept Art upload,concept art image captured at Indiranagar during morning. Non-civic content without a public infrastructure problem.,Indiranagar,morning,0.48,3.26,7,2,124.3,0.363,0.279,0.117,0.205,0.117,Unsupported,21,P4 Low,Manual review
CP-00539,Dark Road near Ulsoor,dark road reported at Ulsoor during morning. traffic jam dangerous needs attention from city staff.,Ulsoor,morning,0.8,1.02,34,9,44.71,0.749,0.177,0.503,0.195,0.545,Broken Light,95,P1 Emergency,Night safety crew
CP-00540,Crater near Ulsoor,crater reported at Ulsoor during afternoon. traffic jam dangerous elderly needs attention from city staff.,Ulsoor,afternoon,0.37,3.07,42,1,163.35,0.465,0.158,0.585,0.372,0.242,Pothole,89,P1 Emergency,Emergency roads crew
CP-00541,Drain Water near Koramangala,drain water reported at Koramangala during morning. main road needs attention from city staff.,Koramangala,morning,0.91,2.96,22,4,133.82,0.785,0.17,0.329,0.438,0.612,Water Leak,86,P1 Emergency,Drainage crew
CP-00542,Wallpaper Art upload,wallpaper art image captured at Jayanagar during evening. Non-civic content without a public infrastructure problem.,Jayanagar,evening,0.8,1.87,10,1,60.65,0.395,0.317,0.026,0.087,0.111,Unsupported,21,P4 Low,Manual review
CP-00543,Pothole near Ulsoor,pothole reported at Ulsoor during night. accident risk main road night urgent needs attention from city staff.,Ulsoor,night,1.0,2.23,63,2,95.75,0.484,0.218,0.77,0.04,0.04,Pothole,100,P1 Emergency,Roads team
CP-00544,Porsche upload,porsche image captured at MG Road during morning. Non-civic content without a public infrastructure problem.,MG Road,morning,0.49,3.14,7,2,79.46,0.313,0.614,0.133,0.087,0.044,Unsupported,21,P4 Low,Manual review
CP-00545,Road Blocked near Koramangala,road blocked reported at Koramangala during afternoon.  needs attention from city staff.,Koramangala,afternoon,0.58,1.0,26,8,85.48,0.614,0.241,0.613,0.185,0.401,Road Block,90,P1 Emergency,Emergency clearing crew
CP-00546,Pothole near MG Road,pothole reported at MG Road during afternoon. children dangerous needs attention from city staff.,MG Road,afternoon,0.8,0.69,76,0,142.68,0.861,0.084,0.466,0.063,0.513,Pothole,98,P1 Emergency,Roads team
CP-00547,Waste Pile near Whitefield,waste pile reported at Whitefield during afternoon. elderly needs attention from city staff.,Whitefield,afternoon,0.46,2.0,53,3,153.64,0.309,0.08,0.637,0.317,0.319,Garbage,68,P2 High,Waste collection crew
CP-00548,Blocked Lane near MG Road,blocked lane reported at MG Road during night. school needs attention from city staff.,MG Road,night,0.37,2.01,90,6,75.51,0.761,0.229,0.151,0.391,0.363,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00549,Porsche upload,porsche image captured at Koramangala during evening. Non-civic content without a public infrastructure problem.,Koramangala,evening,0.27,3.61,6,2,97.07,0.252,0.226,0.071,0.199,0.084,Unsupported,19,P4 Low,Manual review
CP-00550,Garbage near Jayanagar,garbage reported at Jayanagar during night. school needs attention from city staff.,Jayanagar,night,0.86,1.62,74,6,136.95,0.478,0.091,0.476,0.44,0.348,Garbage,77,P2 High,Sanitation team
CP-00551,Construction Debris near Richmond Road,construction debris reported at Richmond Road during night.  needs attention from city staff.,Richmond Road,night,0.69,0.62,22,4,161.86,0.891,0.266,0.145,0.535,0.531,Road Block,84,P1 Emergency,Emergency clearing crew
CP-00552,Damaged Lane near Richmond Road,damaged lane reported at Richmond Road during afternoon. accident risk school elderly children needs attention from city staff.,Richmond Road,afternoon,0.6,2.32,26,2,68.21,0.865,0.089,0.672,0.068,0.186,Pothole,100,P1 Emergency,Emergency roads crew
CP-00553,Promo Image upload,promo image image captured at Ulsoor during afternoon. Non-civic content without a public infrastructure problem.,Ulsoor,afternoon,0.93,3.28,8,2,163.27,0.123,0.541,0.134,0.099,0.15,Unsupported,24,P4 Low,Manual review
CP-00554,Construction Debris near Koramangala,construction debris reported at Koramangala during evening. traffic jam needs attention from city staff.,Koramangala,evening,0.63,0.06,77,6,166.33,0.622,0.065,0.138,0.132,0.316,Road Block,100,P1 Emergency,Traffic response team
CP-00555,Broken Lamp near MG Road,broken lamp reported at MG Road during night. children needs attention from city staff.,MG Road,night,0.38,1.42,67,1,8.76,0.149,0.202,0.084,0.477,0.566,Broken Light,66,P2 High,Night safety crew
CP-00556,Pothole near Jayanagar,pothole reported at Jayanagar during evening. elderly main road needs attention from city staff.,Jayanagar,evening,0.57,2.61,15,9,149.14,0.461,0.156,0.807,0.397,0.594,Pothole,93,P1 Emergency,Emergency roads crew
CP-00557,Drain Water near Koramangala,drain water reported at Koramangala during evening. dangerous school urgent needs attention from city staff.,Koramangala,evening,0.4,2.85,94,7,89.58,0.47,0.04,0.567,0.264,0.632,Water Leak,100,P1 Emergency,Drainage crew
CP-00558,Broken Lamp near Koramangala,broken lamp reported at Koramangala during night. urgent accident risk dangerous needs attention from city staff.,Koramangala,night,0.26,1.17,82,0,13.86,0.38,0.039,0.485,0.152,0.077,Broken Light,86,P1 Emergency,Night safety crew
CP-00559,No Lighting near Whitefield,no lighting reported at Whitefield during afternoon. children needs attention from city staff.,Whitefield,afternoon,0.94,3.17,94,8,58.37,0.114,0.112,0.044,0.343,0.512,Broken Light,80,P1 Emergency,Electrical team
CP-00560,Broken Lamp near Indiranagar,broken lamp reported at Indiranagar during morning. urgent needs attention from city staff.,Indiranagar,morning,0.88,1.55,15,3,11.03,0.916,0.184,0.36,0.441,0.492,Broken Light,85,P1 Emergency,Electrical team
CP-00561,Drain Water near Koramangala,drain water reported at Koramangala during morning. school needs attention from city staff.,Koramangala,morning,0.7,3.19,87,4,63.63,0.422,0.035,0.281,0.089,0.632,Water Leak,100,P1 Emergency,Drainage crew
CP-00562,Digital Render upload,digital render image captured at Whitefield during morning. Non-civic content without a public infrastructure problem.,Whitefield,morning,0.71,3.15,12,0,99.17,0.167,0.332,0.086,0.107,0.248,Unsupported,20,P4 Low,Manual review
CP-00563,Promo Image upload,promo image image captured at MG Road during evening. Non-civic content without a public infrastructure problem.,MG Road,evening,0.31,3.78,12,1,131.79,0.191,0.429,0.081,0.171,0.25,Unsupported,22,P4 Low,Manual review
CP-00564,Burst Pipe near Richmond Road,burst pipe reported at Richmond Road during afternoon. dangerous main road needs attention from city staff.,Richmond Road,afternoon,0.99,2.02,23,2,142.7,0.907,0.275,0.367,0.207,0.773,Water Leak,86,P1 Emergency,Drainage crew
CP-00565,Electric Pole near Indiranagar,electric pole reported at Indiranagar during night. main road elderly needs attention from city staff.,Indiranagar,night,0.82,1.04,58,2,18.68,0.229,0.102,0.356,0.197,0.336,Broken Light,89,P1 Emergency,Night safety crew
CP-00566,Burst Pipe near Ulsoor,burst pipe reported at Ulsoor during afternoon. elderly traffic jam night urgent needs attention from city staff.,Ulsoor,afternoon,0.71,1.79,11,9,111.29,0.423,0.036,0.404,0.108,0.672,Water Leak,100,P1 Emergency,Water works team
CP-00567,Flooding near Richmond Road,flooding reported at Richmond Road during afternoon. traffic jam school needs attention from city staff.,Richmond Road,afternoon,0.38,3.28,26,5,41.22,0.134,0.038,0.384,0.263,0.559,Water Leak,83,P1 Emergency,Water works team
CP-00568,Vehicle Obstruction near Indiranagar,vehicle obstruction reported at Indiranagar during morning. night school needs attention from city staff.,Indiranagar,morning,0.26,0.16,87,6,158.73,0.916,0.246,0.064,0.241,0.197,Road Block,100,P1 Emergency,Traffic response team
CP-00569,Vehicle Obstruction near Richmond Road,vehicle obstruction reported at Richmond Road during morning. main road urgent needs attention from city staff.,Richmond Road,morning,0.47,1.42,93,0,78.14,0.682,0.158,0.429,0.247,0.104,Road Block,90,P1 Emergency,Emergency clearing crew
CP-00570,Construction Debris near Richmond Road,construction debris reported at Richmond Road during afternoon. dangerous school children needs attention from city staff.,Richmond Road,afternoon,0.93,2.79,27,4,35.54,0.619,0.049,0.586,0.281,0.186,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00571,Dark Road near MG Road,dark road reported at MG Road during afternoon. accident risk main road children needs attention from city staff.,MG Road,afternoon,0.64,0.14,48,9,35.27,0.325,0.266,0.12,0.356,0.343,Broken Light,100,P1 Emergency,Electrical team
CP-00572,Wallpaper Art upload,wallpaper art image captured at Richmond Road during afternoon. Non-civic content without a public infrastructure problem.,Richmond Road,afternoon,0.27,3.53,6,1,131.12,0.201,0.255,0.069,0.043,0.279,Unsupported,22,P4 Low,Manual review
CP-00573,Studio Render upload,studio render image captured at Indiranagar during morning. Non-civic content without a public infrastructure problem.,Indiranagar,morning,0.75,3.28,9,0,117.36,0.362,0.431,0.119,0.013,0.249,Unsupported,22,P4 Low,Manual review
CP-00574,Product Photo upload,product photo image captured at Koramangala during evening. Non-civic content without a public infrastructure problem.,Koramangala,evening,0.66,2.33,1,2,145.04,0.246,0.483,0.121,0.061,0.233,Unsupported,22,P4 Low,Manual review
CP-00575,Crater near Indiranagar,crater reported at Indiranagar during afternoon. school accident risk urgent needs attention from city staff.,Indiranagar,afternoon,0.69,2.06,60,1,105.91,0.509,0.11,0.389,0.124,0.099,Pothole,97,P1 Emergency,Roads team
CP-00576,Electric Pole near Whitefield,electric pole reported at Whitefield during afternoon. elderly dangerous needs attention from city staff.,Whitefield,afternoon,0.69,2.24,59,0,25.59,0.422,0.098,0.418,0.194,0.349,Broken Light,80,P1 Emergency,Night safety crew
CP-00577,Waste Pile near Ulsoor,waste pile reported at Ulsoor during night. main road needs attention from city staff.,Ulsoor,night,0.33,2.66,24,7,21.04,0.83,0.157,0.332,0.549,0.537,Garbage,82,P1 Emergency,Waste collection crew
CP-00578,Fallen Tree near Indiranagar,fallen tree reported at Indiranagar during evening. traffic jam dangerous elderly needs attention from city staff.,Indiranagar,evening,0.63,1.15,68,7,36.47,0.332,0.182,0.38,0.102,0.126,Road Block,100,P1 Emergency,Traffic response team
CP-00579,Blocked Lane near Whitefield,blocked lane reported at Whitefield during night. night children needs attention from city staff.,Whitefield,night,0.83,0.98,34,7,169.49,0.781,0.123,0.213,0.405,0.584,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00580,Flooding near Richmond Road,flooding reported at Richmond Road during afternoon. urgent elderly main road needs attention from city staff.,Richmond Road,afternoon,0.98,2.7,3,3,53.38,0.682,0.104,0.255,0.191,0.503,Water Leak,100,P1 Emergency,Water works team
CP-00581,Fallen Tree near MG Road,fallen tree reported at MG Road during afternoon. accident risk dangerous needs attention from city staff.,MG Road,afternoon,0.49,1.7,93,9,95.18,0.896,0.041,0.435,0.385,0.638,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00582,Construction Debris near MG Road,construction debris reported at MG Road during evening. dangerous needs attention from city staff.,MG Road,evening,0.65,1.56,37,1,95.49,0.82,0.048,0.636,0.408,0.581,Road Block,99,P1 Emergency,Emergency clearing crew
CP-00583,Construction Debris near Indiranagar,construction debris reported at Indiranagar during evening.  needs attention from city staff.,Indiranagar,evening,0.67,2.87,89,0,42.47,0.727,0.248,0.461,0.412,0.671,Road Block,87,P1 Emergency,Emergency clearing crew
CP-00584,Overflowing Bin near Indiranagar,overflowing bin reported at Indiranagar during evening. children needs attention from city staff.,Indiranagar,evening,0.5,2.39,91,4,60.86,0.708,0.036,0.095,0.475,0.289,Garbage,78,P1 Emergency,Sanitation team
CP-00585,Blocked Lane near MG Road,blocked lane reported at MG Road during evening. elderly needs attention from city staff.,MG Road,evening,0.84,1.75,74,5,121.5,0.697,0.171,0.634,0.434,0.382,Road Block,100,P1 Emergency,Traffic response team
CP-00586,Sewage Overflow near Jayanagar,sewage overflow reported at Jayanagar during evening. traffic jam dangerous needs attention from city staff.,Jayanagar,evening,0.6,3.12,95,2,124.07,0.141,0.192,0.234,0.3,0.735,Water Leak,84,P1 Emergency,Water works team
CP-00587,Electric Pole near Jayanagar,electric pole reported at Jayanagar during morning.  needs attention from city staff.,Jayanagar,morning,0.26,1.16,20,4,58.93,0.571,0.222,0.355,0.366,0.156,Broken Light,77,P2 High,Electrical team
CP-00588,Garbage near MG Road,garbage reported at MG Road during morning. school needs attention from city staff.,MG Road,morning,0.83,1.91,9,5,159.29,0.86,0.195,0.147,0.373,0.694,Garbage,90,P1 Emergency,Waste collection crew
CP-00589,Porsche upload,porsche image captured at Richmond Road during morning. Non-civic content without a public infrastructure problem.,Richmond Road,morning,0.58,3.28,2,1,70.68,0.342,0.257,0.165,0.162,0.074,Unsupported,21,P4 Low,Manual review
CP-00590,Drain Water near Jayanagar,drain water reported at Jayanagar during evening. dangerous needs attention from city staff.,Jayanagar,evening,0.61,1.81,59,0,21.16,0.755,0.13,0.56,0.208,0.743,Water Leak,85,P1 Emergency,Drainage crew
CP-00591,Road Crack near MG Road,road crack reported at MG Road during evening. elderly children needs attention from city staff.,MG Road,evening,0.28,2.97,23,9,21.48,0.807,0.065,0.449,0.041,0.425,Pothole,100,P1 Emergency,Emergency roads crew
CP-00592,Burst Pipe near Indiranagar,burst pipe reported at Indiranagar during evening. main road needs attention from city staff.,Indiranagar,evening,0.91,0.43,21,0,99.61,0.337,0.186,0.593,0.161,0.718,Water Leak,76,P2 High,Drainage crew
CP-00593,Car Wallpaper upload,car wallpaper image captured at Richmond Road during night. Non-civic content without a public infrastructure problem.,Richmond Road,night,0.82,2.75,1,1,113.41,0.359,0.363,0.163,0.102,0.28,Unsupported,26,P4 Low,Manual review
CP-00594,Electric Pole near Richmond Road,electric pole reported at Richmond Road during afternoon. night dangerous needs attention from city staff.,Richmond Road,afternoon,0.34,1.83,19,3,23.54,0.704,0.209,0.198,0.346,0.19,Broken Light,86,P1 Emergency,Night safety crew
CP-00595,Burst Pipe near Jayanagar,burst pipe reported at Jayanagar during evening. main road accident risk needs attention from city staff.,Jayanagar,evening,0.57,2.33,75,0,139.67,0.752,0.188,0.52,0.539,0.648,Water Leak,93,P1 Emergency,Water works team
